smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
-0.224429,0.272216,-0.0759936,0.349229,0.138155,-0.492021
-0.166501,0.223942,-0.0720796,0.352864,0.160397,-0.665148
-0.104936,0.25727,-0.0960664,0.350001,0.0828694,0.00938139
-0.110389,0.286816,-0.095581,0.346834,0.0144385,0.652451
-0.165869,0.316991,-0.128081,0.338969,-0.0875248,0.22577
-0.119289,0.281573,-0.151689,0.329281,-0.0710278,-0.114981
-0.136042,0.293384,-0.163344,0.327986,-0.123619,-0.556009
-0.113707,0.355197,-0.139099,0.339673,-0.148894,-1.40498
-0.0562247,0.301025,-0.128126,0.343384,-0.11277,0.358682
-0.0309054,0.315408,-0.136401,0.33911,0.042946,-0.0989066
0.00117657,0.306215,-0.145862,0.333575,0.110095,0.420898
0.0375892,0.343734,-0.124082,0.331443,0.0411151,0.849321
0.0288498,0.331317,-0.122745,0.326322,-0.0127349,2.08431
-0.000337206,0.411186,-0.117496,0.329282,0.153496,0.987485
-0.105682,0.386655,-0.138656,0.33696,0.0626282,-0.322657
-0.125521,0.381988,-0.138255,0.33073,-0.0214725,-0.0619219
-0.203956,0.366479,-0.135675,0.308542,0.0801065,-0.347308
-0.130988,0.359495,-0.131323,0.310768,0.284345,1.70595
-0.12702,0.280322,-0.129476,0.317284,0.311894,-0.0111866
-0.118431,0.257501,-0.110207,0.316766,0.206148,-2.62967
-0.0792659,0.330802,-0.104478,0.339431,0.197481,-2.87456
-0.0142051,0.380308,-0.0878471,0.336783,0.117324,1.01322
-0.0390553,0.356899,-0.0804087,0.340673,0.273022,0.498332
-0.0305581,0.347028,-0.0441256,0.341414,0.212907,0.434348
0.0117536,0.283169,-0.0481032,0.324724,0.287701,-0.629278
0.0453391,0.243116,-0.0404348,0.321213,0.219143,1.51413
0.0630708,0.266025,-0.0248312,0.311232,0.155225,0.215307
0.0903024,0.349516,-0.017436,0.31671,0.0238662,-0.317474
0.0661837,0.331122,-0.0176281,0.315293,-0.0970601,-0.203074
0.0774484,0.275909,-0.0311372,0.312543,-0.0348798,-0.733825
-0.0265279,0.27299,-0.0419809,0.338049,-0.0121402,0.659555
-0.0315496,0.223403,-0.0458503,0.336045,-0.114228,-0.674977
-0.0371887,0.308724,-0.041947,0.349985,0.0431379,0.608555
-0.0298875,0.322074,-0.0229701,0.355134,0.00553099,-1.48727
-0.0321987,0.244489,-0.0217714,0.353119,0.029058,0.566798
-0.0958215,0.29589,-0.0289052,0.335881,0.111693,0.565459
-0.105748,0.278506,-0.0233931,0.35179,0.158282,-0.683923
-0.160825,0.274235,-0.0306454,0.354944,0.252652,0.331147
-0.134688,0.310617,-0.0145492,0.348149,0.175845,0.860841
-0.149934,0.303078,-0.0504453,0.356062,0.195169,-1.35976
-0.114942,0.313362,-0.0443165,0.366043,0.0627773,-0.880563
-0.136392,0.379672,-0.0813776,0.359025,0.0336472,-1.97958
-0.107063,0.342497,-0.0836298,0.350575,0.049167,-0.528745
-0.129614,0.371374,-0.107462,0.343143,-0.147222,0.852472
-0.0864897,0.315705,-0.0762867,0.339355,-0.224993,0.0533743
-0.0605601,0.278394,-0.0796204,0.345833,-0.0653969,0.771531
-0.0929817,0.323966,-0.0985333,0.332338,-0.164184,-0.124806
-0.0949287,0.305821,-0.0831158,0.338064,-0.218612,0.478938
-0.110641,0.344963,-0.0912252,0.341823,-0.10274,2.32485
-0.0763654,0.321428,-0.0726411,0.351352,-0.0160884,0.66681
-0.0740099,0.310596,-0.105592,0.353079,-0.153509,0.97136
-0.0862473,0.331729,-0.115215,0.354522,-0.0524115,0.240317
-0.0633089,0.317052,-0.101085,0.339023,-0.0894814,2.52253
-0.0437554,0.310748,-0.0688864,0.344263,0.00781348,0.251895
-0.0240882,0.329897,-0.0808038,0.337697,0.2002,1.64007
-0.0308253,0.317786,-0.0761434,0.332609,0.072458,1.32192
-0.0401465,0.326975,-0.0719545,0.339511,0.14584,-0.289976
-0.0588046,0.329937,-0.0598474,0.353076,0.143139,-1.07227
-0.0579441,0.339977,-0.0599248,0.354078,0.185455,-0.998904
-0.0738098,0.337653,-0.0654489,0.36451,0.120974,1.39306
-0.078702,0.32882,-0.0749678,0.365459,0.123003,0.00104242
-0.106705,0.365577,-0.093669,0.363183,0.0553923,-0.755953
-0.0765267,0.372728,-0.0710175,0.368206,0.0911817,1.30323
-0.0796559,0.355372,-0.0984411,0.377672,0.0155049,0.449018
-0.0863265,0.3464,-0.0922735,0.36469,0.119451,-0.40987
-0.0706777,0.332215,-0.0906687,0.354331,0.275495,2.42505
-0.0395652,0.34251,-0.0853531,0.354939,0.0886988,1.51076
-0.029218,0.336934,-0.0487335,0.342704,0.207636,0.627436
-0.03737,0.336032,-0.03737,0.336032,0.240723,-1.77801
